"plate.name","well","value"
"marg","A01","dA1"
"marg","A02","dA2"
"marg","A03","dA3"
"marg","A04","dA4"
"marg","A05","dA5"
"marg","A06","dA6"
"marg","A07","dA7"
"marg","A08","dA8"
"marg","A09","dA9"
"marg","A10","dA10"
"marg","A11","dA11"
"marg","A12","dA12"
"marg","B01","dB1"
"marg","B02","dB2"
"marg","B03","dB3"
"marg","B04","dB4"
"marg","B05","dB5"
"marg","B06","dB6"
"marg","B07","dB7"
"marg","B08","dB8"
"marg","B09","dB9"
"marg","B10","dB10"
"marg","B11","dB11"
"marg","B12","dB12"
"marg","C01","dC1"
"marg","C02","dC2"
"marg","C03","dC3"
"marg","C04","dC4"
"marg","C05","dC5"
"marg","C06","dC6"
"marg","C07","dC7"
"marg","C08","dC8"
"marg","C09","dC9"
"marg","C10","dC10"
"marg","C11","dC11"
"marg","C12","dC12"
"marg","D01","dD1"
"marg","D02","dD2"
"marg","D03","dD3"
"marg","D04","dD4"
"marg","D05","dD5"
"marg","D06","dD6"
"marg","D07","dD7"
"marg","D08","dD8"
"marg","D09","dD9"
"marg","D10","dD10"
"marg","D11","dD11"
"marg","D12","dD12"
"marg","E01","dE1"
"marg","E02","dE2"
"marg","E03","dE3"
"marg","E04","dE4"
"marg","E05","dE5"
"marg","E06","dE6"
"marg","E07","dE7"
"marg","E08","dE8"
"marg","E09","dE9"
"marg","E10","dE10"
"marg","E11","dE11"
"marg","E12","dE12"
"marg","F01","dF1"
"marg","F02","dF2"
"marg","F03","dF3"
"marg","F04","dF4"
"marg","F05","dF5"
"marg","F06","dF6"
"marg","F07","dF7"
"marg","F08","dF8"
"marg","F09","dF9"
"marg","F10","dF10"
"marg","F11","dF11"
"marg","F12","dF12"
"marg","G01","dG1"
"marg","G02","dG2"
"marg","G03","dG3"
"marg","G04","dG4"
"marg","G05","dG5"
"marg","G06","dG6"
"marg","G07","dG7"
"marg","G08","dG8"
"marg","G09","dG9"
"marg","G10","dG10"
"marg","G11","dG11"
"marg","G12","dG12"
"marg","H01","dH1"
"marg","H02","dH2"
"marg","H03","dH3"
"marg","H04","dH4"
"marg","H05","dH5"
"marg","H06","dH6"
"marg","H07","dH7"
"marg","H08","dH8"
"marg","H09","dH9"
"marg","H10","dH10"
"marg","H11","dH11"
"marg","H12","dH12"
"PelliePlate1","A01","L89-01"
"PelliePlate1","A02","L89-02"
"PelliePlate1","A03","L89-03"
"PelliePlate1","A04","L5-11"
"PelliePlate1","A05","L5-04"
"PelliePlate1","A06","L5-01"
"PelliePlate1","A07","L25-31"
"PelliePlate1","A08","L25-32"
"PelliePlate1","A09","L25-37"
"PelliePlate1","A10","L55K"
"PelliePlate1","A11","L55P"
"PelliePlate1","A12","L55V"
"PelliePlate1","B01","I18-03"
"PelliePlate1","B02","I18-06"
"PelliePlate1","B03","I18-09"
"PelliePlate1","B04","I45-14"
"PelliePlate1","B05","I45-13"
"PelliePlate1","B06","I45-08"
"PelliePlate1","B07","AC71-01"
"PelliePlate1","B08","AC71-09"
"PelliePlate1","B09","AC71-17"
"PelliePlate1","B10","AC37-01"
"PelliePlate1","B11","AC37-10"
"PelliePlate1","B12","AC37-09"
"PelliePlate1","C01","AI01-22"
"PelliePlate1","C02","AI01-31"
"PelliePlate1","C03","AI01-33"
"PelliePlate1","C04","I50-10"
"PelliePlate1","C05","I50-17"
"PelliePlate1","C06","I50-13"
"PelliePlate1","C07","D2-34"
"PelliePlate1","C08","D2-04"
"PelliePlate1","C09","D2-02"
"PelliePlate1","C10","D3-16"
"PelliePlate1","C11","D3-06"
"PelliePlate1","C12","D3-15"
"PelliePlate1","D01","D8F"
"PelliePlate1","D02","D8K_1"
"PelliePlate1","D03","D8P_2"
"PelliePlate1","D04","Ha7-32"
"PelliePlate1","D05","Ha7-43"
"PelliePlate1","D06","Ha7-54"
"PelliePlate1","D07","Ha57-01"
"PelliePlate1","D08","Ha57-08"
"PelliePlate1","D09","Ha57-13"
"PelliePlate1","D10","Ha54J"
"PelliePlate1","D11","Ha54G"
"PelliePlate1","D12","Ha54T"
"PelliePlate1","E01","Ha26-53"
"PelliePlate1","E02","Ha26-45"
"PelliePlate1","E03","Ha26-35"
"PelliePlate1","E04","R33-01"
"PelliePlate1","E05","R33-07"
"PelliePlate1","E06","R33-13"
"PelliePlate1","E07","E7R13-03"
"PelliePlate1","E08","R13-11"
"PelliePlate1","E09","R13-01"
"PelliePlate1","E10","R77-01"
"PelliePlate1","E11","R77-14"
"PelliePlate1","E12","R77-16"
"PelliePlate1","F01","S15-02"
"PelliePlate1","F02","S15-26"
"PelliePlate1","F03","S15-31"
"PelliePlate1","F04","S27-01"
"PelliePlate1","F05","S27-10"
"PelliePlate1","F06","S27-21"
"PelliePlate1","F07","AC20-13"
"PelliePlate1","F08","AC20-01"
"PelliePlate1","F09","AC20-16"
"PelliePlate1","F10","AI21-08"
"PelliePlate1","F11","AI21-03"
"PelliePlate1","F12","AI21-17"
"PelliePlate1","G01","AI95-01"
"PelliePlate1","G02","AI95-02"
"PelliePlate1","G03","AI95-03"
"PelliePlate1","G04","AI65A-18"
"PelliePlate1","G05","AI65A-03"
"PelliePlate1","G06","AI65A-05"
"PelliePlate1","G07","I84-01"
"PelliePlate1","G08","I84-02"
"PelliePlate1","G09","I84-03"
"PelliePlate1","G10","H78-11"
"PelliePlate1","G11","H78-06"
"PelliePlate1","G12","H78-01"
"PelliePlate1","H01","H48-10"
"PelliePlate1","H02","H75-01"
"PelliePlate1","H03","ren-"
"PelliePlate1","H04","kling-Nicotra7"
"PelliePlate1","H05","kling-Nicotra1"
"PelliePlate1","H06","kling-Nicotra2"
"PelliePlate1","H07","bowk-3"
"PelliePlate1","H08","bowk-2"
"PelliePlate1","H09","bowk-1"
"PelliePlate1","H10","gross-3"
"PelliePlate1","H11","gross-2"
"PelliePlate1","H12","gross-1"
"PelliePlate2","A01","R82-02"
"PelliePlate2","A02","Ha58-20"
"PelliePlate2","A03","AI17-05"
"PelliePlate2","A04","L59-10"
"PelliePlate2","A05","L53-03"
"PelliePlate2","A06","L93-07"
"PelliePlate2","A07","S79-01"
"PelliePlate2","A08","AC61-19"
"PelliePlate2","A09","AC76-05"
"PelliePlate2","A10","AC90-01"
"PelliePlate2","A11","AI88-20"
"PelliePlate2","A12","AI64-14"
"PelliePlate2","B01","R82-03"
"PelliePlate2","B02","D9-31"
"PelliePlate2","B03","AI17-06"
"PelliePlate2","B04","L59-15"
"PelliePlate2","B05","L24-28"
"PelliePlate2","B06","L93-15"
"PelliePlate2","B07","S79-17"
"PelliePlate2","B08","AC63-06"
"PelliePlate2","B09","AC76-06"
"PelliePlate2","B10","AC90-02"
"PelliePlate2","B11","AIAireys1"
"PelliePlate2","B12","AI64-15"
"PelliePlate2","C01","R82-04"
"PelliePlate2","C02","D9-33"
"PelliePlate2","C03","AI22-25"
"PelliePlate2","C04","L59-16"
"PelliePlate2","C05","L24-29"
"PelliePlate2","C06","IAireys1"
"PelliePlate2","C07","S79-18"
"PelliePlate2","C08","AC63-07"
"PelliePlate2","C09","AC80-01"
"PelliePlate2","C10","AC90-03"
"PelliePlate2","C11","AIAireys2"
"PelliePlate2","C12","AI69-11"
"PelliePlate2","D01","R11-06"
"PelliePlate2","D02","D9-34"
"PelliePlate2","D03","AI22-28"
"PelliePlate2","D04","L56-13"
"PelliePlate2","D05","L24-32"
"PelliePlate2","D06","IAireys2"
"PelliePlate2","D07","AC60-16"
"PelliePlate2","D08","AC63-09"
"PelliePlate2","D09","AC80-02"
"PelliePlate2","D10","AC92-14"
"PelliePlate2","D11","AIAireys3"
"PelliePlate2","D12","AI69-14"
"PelliePlate2","E01","R11-07"
"PelliePlate2","E02","AI74-07"
"PelliePlate2","E03","AI22-32"
"PelliePlate2","E04","L56-14"
"PelliePlate2","E05","L06-34"
"PelliePlate2","E06","IAireys3"
"PelliePlate2","E07","AC60-17"
"PelliePlate2","E08","AC67-16"
"PelliePlate2","E09","AC80-03"
"PelliePlate2","E10","AC92-17"
"PelliePlate2","E11","AI73-01"
"PelliePlate2","E12","AI69-19"
"PelliePlate2","F01","R11-08"
"PelliePlate2","F02","AI74-17"
"PelliePlate2","F03","AI14-24"
"PelliePlate2","F04","L56-15"
"PelliePlate2","F05","L06-35"
"PelliePlate2","F06","R91-17"
"PelliePlate2","F07","AC60-19"
"PelliePlate2","F08","AC67-20"
"PelliePlate2","F09","AC87-01"
"PelliePlate2","F10","AC92-18"
"PelliePlate2","F11","AI73-04"
"PelliePlate2","F12","ion1"
"PelliePlate2","G01","Ha58-18"
"PelliePlate2","G02","AI74-18"
"PelliePlate2","G03","AI14-26"
"PelliePlate2","G04","L53-01"
"PelliePlate2","G05","L06-36"
"PelliePlate2","G06","R91-18"
"PelliePlate2","G07","AC61-04"
"PelliePlate2","G08","AC67-21"
"PelliePlate2","G09","AC87-15"
"PelliePlate2","G10","AI88-08"
"PelliePlate2","G11","AI73-15"
"PelliePlate2","G12","ion2"
"PelliePlate2","H01","Ha58-19"
"PelliePlate2","H02","AI17-04"
"PelliePlate2","H03","AI14-27"
"PelliePlate2","H04","L53-02"
"PelliePlate2","H05","L93-04"
"PelliePlate2","H06","R91-19"
"PelliePlate2","H07","AC61-11"
"PelliePlate2","H08","AC76-04"
"PelliePlate2","H09","AC87-18"
"PelliePlate2","H10","AI88-15"
"PelliePlate2","H11","AI64-01"
"PelliePlate2","H12","crispumvar-minor"
"PellieNicotraPlate3","A01","D2-05"
"PellieNicotraPlate3","A02","L5-06"
"PellieNicotraPlate3","A03","D8-08"
"PellieNicotraPlate3","A04","R13-16"
"PellieNicotraPlate3","A05","S15-32"
"PellieNicotraPlate3","A06","AI21-20"
"PellieNicotraPlate3","A07","S27-33"
"PellieNicotraPlate3","A08","R33-21"
"PellieNicotraPlate3","A09","I45-04"
"PellieNicotraPlate3","A10",""
"PellieNicotraPlate3","A11",""
"PellieNicotraPlate3","A12",""
"PellieNicotraPlate3","B01","D2-09"
"PellieNicotraPlate3","B02","L5-07"
"PellieNicotraPlate3","B03","D8-09"
"PellieNicotraPlate3","B04","R13-18"
"PellieNicotraPlate3","B05","S15-34"
"PellieNicotraPlate3","B06","S27-09"
"PellieNicotraPlate3","B07","R33-03"
"PellieNicotraPlate3","B08","AC37-02"
"PellieNicotraPlate3","B09","I45-06"
"PellieNicotraPlate3","B10",""
"PellieNicotraPlate3","B11",""
"PellieNicotraPlate3","B12",""
"PellieNicotraPlate3","C01","D2-10"
"PellieNicotraPlate3","C02","L5-08"
"PellieNicotraPlate3","C03","D8-10"
"PellieNicotraPlate3","C04","R13-19"
"PellieNicotraPlate3","C05","S15-37"
"PellieNicotraPlate3","C06","S27-22"
"PellieNicotraPlate3","C07","R33-04"
"PellieNicotraPlate3","C08","AC37-03"
"PellieNicotraPlate3","C09","I45-09"
"PellieNicotraPlate3","C10",""
